productId,productName,category,furnitureType,modelNumber,brandName,availability,steelGrade,topMaterial,frameMaterial,frameThickness,surfaceFinish,enclosureMaterial,color,corrosionResistanceLevel,loadCapacityKg,seatingCapacity,usageArea,recommendedFor,length_cm,width_cm,height_cm,weight_kg,maximumWeightRecommendation_kg,basePriceINR,discountPercentage,finalPriceINR,stockQuantity,rating,reviewsCount,salesCount,warrantyYears,productDescription,features,leadTimeDays,installationSupport,maintenanceRequired,countryOfOrigin,createdAt,type,category_clean,price_numeric,tags
PRD00001,Industrial SS Shelf Unit Slotted,Steel Furniture Works,Locker,SKSW-SF-3286,ShriKrishnaSteelWorks,Made to Order,Galvanized Steel,Mild Steel,MS Angle Iron,4.0mm,Mirror Finish,SS Sheet,Chrome,Medium,567,,Hospital,Storage,161,94.4,163.3,55,460.6,41500,21.2,32700,3,4.6,331,3472,3,"We are a leading manufacturer and supplier of Industrial SS Shelf Unit Slotted designed to meet the stringent requirements of modern industrial and commercial applications. Our products are fabricated using top-grade Galvanized Steel steel, ensuring maximum strength, durability, and corrosion resistance. The Mirror Finish finish provides an attractive appearance while protecting the surface from environmental damage. Every product is manufactured in accordance with industry quality standards and goes through multiple quality assurance checks before reaching the customer. Available in standard and custom configurations, our Industrial SS Shelf Unit Slotted can be tailored to match specific dimensional and functional requirements. ShriKrishnaSteelWorks is committed to delivering products on time with the highest degree of client satisfaction. Our responsive after-sales service and technical support team ensure your complete peace of mind post-purchase.","High strength, Anti-tip design, Easy maintenance, Long lasting, Load bearing capacity, Modular design",25,No,High,India,2025-07-16,Locker,Steel Furniture,32700,"hospital,storage,lockable,modular,security,galvanised steel"
PRD00002,Heavy Duty Mild Steel Cabinet Double Door,Steel Furniture Works,Almirah,SKSW-SF-2291,ShriKrishnaSteelWorks,In Stock,SS 201,Powder Coated Steel,MS Angle Iron,2.5mm,Matte Finish,SS Sheet,Golden,High,131,,Home,Storage,128.4,70.8,188.5,26.2,103.3,40000,19,32400,349,4.5,355,4385,2,"ShriKrishnaSteelWorks takes pride in offering premium quality Heavy Duty Mild Steel Cabinet Double Door that stands out for its robust construction and refined aesthetics. Crafted from high-grade SS 201 steel with a Matte Finish treatment, this product delivers outstanding performance across diverse applications. The precision engineering and meticulous welding ensure structural integrity under heavy load conditions. Ideal for Home environments, this unit is designed to withstand rigorous daily usage while maintaining its pristine appearance. We understand the unique demands of industrial and commercial clients, which is why we offer tailor-made customization to perfectly align with your space and operational requirements. Our experienced fabrication team uses state-of-the-art machinery to produce consistent, high-quality results. We guarantee timely delivery at competitive pricing with complete installation support available on request.","Modular design, Customizable, Load bearing capacity, Powder coated finish, High strength, Easy maintenance, Unique design, Long lasting",23,No,Medium,India,2025-04-05,Almirah,Steel Furniture,32400,"residential,heavy-duty,storage,modular,steel"
PRD00003,Premium GI Almirah Slotted,Steel Furniture Works,Storage Unit,SKSW-SF-7482,ShriKrishnaSteelWorks,Made to Order,Carbon Steel,Toughened Glass,MS Round Pipe,2.0mm,Powder Coated,Acrylic Sheet,Blue Grey,Medium,648,,Industrial,Document Filing,131.9,49.7,219.5,65.1,468.3,11200,22.2,8700,78,4.4,869,4895,1,"Presenting the Premium GI Almirah Slotted from ShriKrishnaSteelWorks � a perfect blend of strength, style, and functionality for professional use. Made from premium Carbon Steel stainless steel, this product offers excellent resistance to rust, corrosion, and mechanical stress, making it ideal for long-term use in Industrial settings. The precision-cut components and expert welding result in a structurally sound and visually appealing unit. With a Powder Coated surface finish, the product maintains its brilliance and hygiene with minimal maintenance effort. Customization in terms of dimensions, color, and configuration is readily available for bulk orders. We are committed to providing value-for-money solutions with uncompromised quality and on-time delivery. Our clientele across hospitality, industrial, and institutional sectors trusts ShriKrishnaSteelWorks for consistent excellence.","Rust proof, Heavy gauge steel, Powder coated finish, Customizable, Adjustable shelves, Unique design, Long lasting, Easy maintenance",44,No,Low,India,2025-07-31,Almirah,Steel Furniture,8700,"industrial,heavy-duty,storage,adjustable,powder-coated,steel"
PRD00004,Standard MS Table Single Door,Steel Furniture Works,Shelf,SKSW-SF-9201,ShriKrishnaSteelWorks,Made to Order,Galvanized Steel,Mild Steel,MS Round Pipe,6.0mm,Hot Dip Galvanized,Perforated Sheet,Matte Black,Medium,215,,Hospital,Document Filing,225.3,83.9,122.8,20.5,170,45300,9.8,40900,123,4.8,166,711,5,"Our organization is widely reputed in providing Standard MS Table Single Door to our esteemed customers across India. The combination of elegant design, excellent texture and immaculate finishing makes this range one of the best available in the market today. Manufactured using premium quality Galvanized Steel stainless steel, this product ensures exceptional durability and longevity even in demanding industrial environments. The Hot Dip Galvanized surface treatment not only enhances the aesthetic appeal but also provides superior protection against corrosion and daily wear. Each unit undergoes rigorous quality checks to meet the highest industry standards before dispatch. We offer full customization options including size, finish, and configuration as per client requirements. Our dedicated team ensures timely delivery and post-sales support to guarantee complete client satisfaction. Trust ShriKrishnaSteelWorks for products that combine functionality with superior craftsmanship.","Anti-tip design, Corrosion resistant, Space saving, Load bearing capacity, Heavy gauge steel, Powder coated finish, Adjustable shelves, Rust proof, Customizable",16,Yes,High,India,2025-08-09,Shelf,Steel Furniture,40900,"hospital,heavy-duty,storage,adjustable,galvanised steel"
PRD00005,Standard Stainless Steel Table Fixed,Steel Furniture Works,Rack,SKSW-SF-5061,ShriKrishnaSteelWorks,In Stock,SS 430,Stainless Steel,MS Angle Iron,6.0mm,Powder Coated,Tempered Glass,Golden,Low,774,,Laboratory,Office Use,72.1,32.8,92.8,65.6,595.7,68600,9.3,62200,67,4.6,1174,4730,5,"ShriKrishnaSteelWorks takes pride in offering premium quality Standard Stainless Steel Table Fixed that stands out for its robust construction and refined aesthetics. Crafted from high-grade SS 430 steel with a Powder Coated treatment, this product delivers outstanding performance across diverse applications. The precision engineering and meticulous welding ensure structural integrity under heavy load conditions. Ideal for Laboratory environments, this unit is designed to withstand rigorous daily usage while maintaining its pristine appearance. We understand the unique demands of industrial and commercial clients, which is why we offer tailor-made customization to perfectly align with your space and operational requirements. Our experienced fabrication team uses state-of-the-art machinery to produce consistent, high-quality results. We guarantee timely delivery at competitive pricing with complete installation support available on request.","Anti-tip design, Modular design, High strength, Long lasting, Load bearing capacity, Space saving, Easy maintenance, Adjustable shelves",32,Yes,High,India,2026-01-31,Shelf,Steel Furniture,62200,"office,storage,adjustable,modular,powder-coated,steel"
PRD00006,Industrial SS Wall Rack Bolted,Steel Furniture Works,Rack,SKSW-SF-5073,ShriKrishnaSteelWorks,In Stock,Galvanized Steel,MS Sheet,SS 316 Pipe,4.0mm,Brushed Finish,Expanded Metal,Grey,Medium,127,,Industrial,Document Filing,77.6,88.7,132.7,9.7,91.9,36000,8.3,33000,248,4.2,826,490,2,"Presenting the Industrial SS Wall Rack Bolted from ShriKrishnaSteelWorks � a perfect blend of strength, style, and functionality for professional use. Made from premium Galvanized Steel stainless steel, this product offers excellent resistance to rust, corrosion, and mechanical stress, making it ideal for long-term use in Industrial settings. The precision-cut components and expert welding result in a structurally sound and visually appealing unit. With a Brushed Finish surface finish, the product maintains its brilliance and hygiene with minimal maintenance effort. Customization in terms of dimensions, color, and configuration is readily available for bulk orders. We are committed to providing value-for-money solutions with uncompromised quality and on-time delivery. Our clientele across hospitality, industrial, and institutional sectors trusts ShriKrishnaSteelWorks for consistent excellence.","Modular design, Customizable, Heavy gauge steel, Anti-tip design, Space saving",12,Yes,Medium,India,2025-06-22,Shelf,Steel Furniture,33000,"industrial,heavy-duty,storage,modular,galvanised steel"
PRD01430,Standard SS 304 Glass Railing Curved,SS Railing,Wall Mounted Railing,SKSW-SR-9811,ShriKrishnaSteelWorks,Made to Order,GI Steel,Granite Top,MS Round Pipe,8.0mm,Matte Finish,MS Sheet,Blue Grey,Medium,143,,Home,Aesthetic Enhancement,231.4,6.7,113.3,18.1,112,68200,9.6,61700,377,3.7,1037,390,5,"ShriKrishnaSteelWorks takes pride in offering premium quality Standard SS 304 Glass Railing Curved that stands out for its robust construction and refined aesthetics. Crafted from high-grade GI Steel steel with a Matte Finish treatment, this product delivers outstanding performance across diverse applications. The precision engineering and meticulous welding ensure structural integrity under heavy load conditions. Ideal for Home environments, this unit is designed to withstand rigorous daily usage while maintaining its pristine appearance. We understand the unique demands of industrial and commercial clients, which is why we offer tailor-made customization to perfectly align with your space and operational requirements. Our experienced fabrication team uses state-of-the-art machinery to produce consistent, high-quality results. We guarantee timely delivery at competitive pricing with complete installation support available on request.","Welded joints, High tensile strength, Customizable length, Easy installation, Corrosion resistant, Mirror finish, UV resistant",14,No,High,India,2025-09-09,Railing,Fabrication,61700,"residential,security,steel,welded"
PRD01431,Premium SS 304 Deck Railing with Glass Infill,SS Railing,Glass Railing,SKSW-SR-8981,ShriKrishnaSteelWorks,Made to Order,SS 202,Wooden Top,MS Square Pipe,1.5mm,Satin Finish,Perforated Sheet,Copper,Low,495,,Industrial,Structural Support,371.1,9.2,103.2,32.4,418.6,25300,14.3,21700,238,3.7,1176,4179,3,"Presenting the Premium SS 304 Deck Railing with Glass Infill from ShriKrishnaSteelWorks � a perfect blend of strength, style, and functionality for professional use. Made from premium SS 202 stainless steel, this product offers excellent resistance to rust, corrosion, and mechanical stress, making it ideal for long-term use in Industrial settings. The precision-cut components and expert welding result in a structurally sound and visually appealing unit. With a Satin Finish surface finish, the product maintains its brilliance and hygiene with minimal maintenance effort. Customization in terms of dimensions, color, and configuration is readily available for bulk orders. We are committed to providing value-for-money solutions with uncompromised quality and on-time delivery. Our clientele across hospitality, industrial, and institutional sectors trusts ShriKrishnaSteelWorks for consistent excellence.","Modern design, Easy installation, High tensile strength, UV resistant, Low maintenance",21,Yes,High,India,2025-09-14,Railing,Fabrication,21700,"industrial,security,steel,welded"
PRD01432,Industrial Stainless Steel Deck Railing Curved,SS Railing,Safety Barrier,SKSW-SR-8154,ShriKrishnaSteelWorks,Made to Order,SS 201,PVC Coated Steel,Hollow Section Steel,1.5mm,PVD Coated,Expanded Metal,White,High,728,,Hotel,Pool Safety,146.7,10,112.6,34.2,513.1,39600,20.1,31600,305,3.5,1118,537,1,"Our organization is widely reputed in providing Industrial Stainless Steel Deck Railing Curved to our esteemed customers across India. The combination of elegant design, excellent texture and immaculate finishing makes this range one of the best available in the market today. Manufactured using premium quality SS 201 stainless steel, this product ensures exceptional durability and longevity even in demanding industrial environments. The PVD Coated surface treatment not only enhances the aesthetic appeal but also provides superior protection against corrosion and daily wear. Each unit undergoes rigorous quality checks to meet the highest industry standards before dispatch. We offer full customization options including size, finish, and configuration as per client requirements. Our dedicated team ensures timely delivery and post-sales support to guarantee complete client satisfaction. Trust ShriKrishnaSteelWorks for products that combine functionality with superior craftsmanship.","Corrosion resistant, Anti-skid, Elegant appearance, Welded joints, Easy installation",36,Yes,High,India,2025-09-28,Railing,Fabrication,31600,"office,security,steel,welded"
PRD01433,Industrial Mirror Finish Deck Railing with Glass Infill,SS Railing,Staircase Railing,SKSW-SR-9847,ShriKrishnaSteelWorks,In Stock,SS 304,Wooden Top,SS 316 Pipe,2.0mm,Hairline Finish,SS Sheet,Blue Grey,Low,303,,Hotel,Pool Safety,437,6.6,119.2,24.4,234.2,56400,10.3,50600,355,4,585,2329,5,"ShriKrishnaSteelWorks takes pride in offering premium quality Industrial Mirror Finish Deck Railing with Glass Infill that stands out for its robust construction and refined aesthetics. Crafted from high-grade SS 304 steel with a Hairline Finish treatment, this product delivers outstanding performance across diverse applications. The precision engineering and meticulous welding ensure structural integrity under heavy load conditions. Ideal for Hotel environments, this unit is designed to withstand rigorous daily usage while maintaining its pristine appearance. We understand the unique demands of industrial and commercial clients, which is why we offer tailor-made customization to perfectly align with your space and operational requirements. Our experienced fabrication team uses state-of-the-art machinery to produce consistent, high-quality results. We guarantee timely delivery at competitive pricing with complete installation support available on request.","Welded joints, Anti-skid, Durable construction, Customizable length, High tensile strength, Low maintenance, Easy installation, Modern design",32,No,Low,India,2025-09-27,Railing,Fabrication,50600,"office,security,stainless steel,steel"
PRD01434,Custom Brushed Glass Railing Horizontal,SS Railing,Modular Railing,SKSW-SR-5273,ShriKrishnaSteelWorks,In Stock,SS 304,GI Sheet,MS Square Pipe,2.5mm,Electro Polished,Solid Panel,Brushed Silver,High,989,,Hotel,Structural Support,326.3,5.9,106.8,28.8,870.5,118100,24,89800,466,3.5,1013,4251,5,"ShriKrishnaSteelWorks is pleased to introduce its high-performance Custom Brushed Glass Railing Horizontal, engineered for superior functionality and durability in commercial and industrial environments. Constructed with SS 304 steel and treated with a Electro Polished finish, this unit offers excellent mechanical properties and corrosion protection. The ergonomic design ensures ease of use while optimizing space utilization for Hotel applications. Every product is inspected thoroughly for dimensional accuracy, finish quality, and structural soundness. We provide full customization services including bespoke sizing, finish options, and special configurations to meet unique project requirements. With a strong commitment to quality and timely delivery, ShriKrishnaSteelWorks has become a trusted name among architects, contractors, hotel groups, and industrial enterprises across India. Our after-sales support ensures long-term customer satisfaction and trouble-free operation.","Durable construction, Mirror finish, Customizable length, Welded joints, Elegant appearance",8,Yes,Medium,India,2025-06-22,Railing,Fabrication,89800,"office,security,stainless steel,steel"
PRD01435,Modular Brushed Balcony Railing with Glass Infill,SS Railing,Wall Mounted Railing,SKSW-SR-8835,ShriKrishnaSteelWorks,In Stock,SS 202,GI Sheet,SS 316 Pipe,2.0mm,Hairline Finish,MS Sheet,Brushed Silver,Low,424,,Industrial,Structural Support,498.5,12.7,116,26.8,348.5,32000,21,25300,94,4.8,1029,2091,1,"Renowned for its quality craftsmanship and material excellence, the Modular Brushed Balcony Railing with Glass Infill by ShriKrishnaSteelWorks is a benchmark product in its category. Utilizing high-tensile SS 202 steel with advanced Hairline Finish treatment, this product delivers exceptional performance under varied load and environmental conditions. Engineered for reliability and long service life, it serves as an ideal solution for Industrial installations requiring both functionality and aesthetic value. Our manufacturing process adheres to stringent quality protocols, ensuring each unit meets dimensional tolerances and finish standards consistently. We cater to both standard and customized orders with competitive lead times. Our expert technical team provides full support from product selection to installation, ensuring a seamless experience for every client. Choose ShriKrishnaSteelWorks for a product that combines industrial strength with refined finishing.","Customizable length, Modern design, Low maintenance, Corrosion resistant, Welded joints",18,Yes,Low,India,2025-12-16,Railing,Fabrication,25300,"industrial,modular,security,steel"
PRD02859,Service GI Kitchen Trolley Rectangular,Kitchen Trolleys,Storage Trolley,SKSW-KT-4478,ShriKrishnaSteelWorks,Made to Order,SS 316L,Granite Top,SS 316 Pipe,3.5mm,Matte Finish,MS Sheet,Grey,High,35,,Industrial,Hospitality Use,116.8,87.4,144.3,26.3,31.9,36300,17.8,29800,153,4,352,65,5,"Our organization is widely reputed in providing Service GI Kitchen Trolley Rectangular to our esteemed customers across India. The combination of elegant design, excellent texture and immaculate finishing makes this range one of the best available in the market today. Manufactured using premium quality SS 316L stainless steel, this product ensures exceptional durability and longevity even in demanding industrial environments. The Matte Finish surface treatment not only enhances the aesthetic appeal but also provides superior protection against corrosion and daily wear. Each unit undergoes rigorous quality checks to meet the highest industry standards before dispatch. We offer full customization options including size, finish, and configuration as per client requirements. Our dedicated team ensures timely delivery and post-sales support to guarantee complete client satisfaction. Trust ShriKrishnaSteelWorks for products that combine functionality with superior craftsmanship.","Smooth rolling casters, Stainless steel construction, Durable, Compact design, Multi-tier storage, Heavy duty, Easy to clean, Rust resistant, Locking wheels",23,Yes,Low,India,2026-02-27,Cabinet,Fabrication,29800,"hospital,heavy-duty,storage,lockable,steel"
PRD02860,Multipurpose MS Service Cart Folding,Kitchen Trolleys,Kitchen Trolley,SKSW-KT-4418,ShriKrishnaSteelWorks,In Stock,GI Steel,MS Sheet,ERW Pipe,6.0mm,Mirror Finish,SS Sheet,Copper,Medium,161,,Canteen,Hospitality Use,50.3,71.6,112,13.5,113,15200,6,14300,422,4.4,136,2855,3,"Presenting the Multipurpose MS Service Cart Folding from ShriKrishnaSteelWorks � a perfect blend of strength, style, and functionality for professional use. Made from premium GI Steel stainless steel, this product offers excellent resistance to rust, corrosion, and mechanical stress, making it ideal for long-term use in Canteen settings. The precision-cut components and expert welding result in a structurally sound and visually appealing unit. With a Mirror Finish surface finish, the product maintains its brilliance and hygiene with minimal maintenance effort. Customization in terms of dimensions, color, and configuration is readily available for bulk orders. We are committed to providing value-for-money solutions with uncompromised quality and on-time delivery. Our clientele across hospitality, industrial, and institutional sectors trusts ShriKrishnaSteelWorks for consistent excellence.","Durable, Rust resistant, Smooth rolling casters, Food grade material, Ergonomic handle, Heavy duty, Easy to clean, Stainless steel construction",23,Yes,High,India,2026-02-19,Cabinet,Fabrication,14300,"hospital,heavy-duty,storage,foldable,steel"
PRD02861,Catering SS 304 Kitchen Trolley with Drawers,Kitchen Trolleys,Waste Trolley,SKSW-KT-5648,ShriKrishnaSteelWorks,Made to Order,Carbon Steel,PVC Coated Steel,SS 304 Pipe,3.0mm,Mirror Finish,Wire Mesh,Grey,Low,176,,Canteen,Transportation of Goods,89,55,137.2,10.2,140.7,21400,11.7,18900,241,4,416,4946,3,"ShriKrishnaSteelWorks takes pride in offering premium quality Catering SS 304 Kitchen Trolley with Drawers that stands out for its robust construction and refined aesthetics. Crafted from high-grade Carbon Steel steel with a Mirror Finish treatment, this product delivers outstanding performance across diverse applications. The precision engineering and meticulous welding ensure structural integrity under heavy load conditions. Ideal for Canteen environments, this unit is designed to withstand rigorous daily usage while maintaining its pristine appearance. We understand the unique demands of industrial and commercial clients, which is why we offer tailor-made customization to perfectly align with your space and operational requirements. Our experienced fabrication team uses state-of-the-art machinery to produce consistent, high-quality results. We guarantee timely delivery at competitive pricing with complete installation support available on request.","Locking wheels, Stainless steel construction, Smooth rolling casters, Multi-tier storage, Lightweight, Rust resistant, Ergonomic handle, Compact design",18,Yes,High,India,2026-02-24,Cabinet,Fabrication,18900,"indoor,storage,lockable,steel"
